# Sensor Strada Sfinții Voievozi, Popești-Leordeni, Romania (uRad Monitor/160000ee)
# https://aqicn.org/station/@109861/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-03-25T00:00:00.000Z,19,19,19,19,19,0,3
2020-03-27T00:00:00.000Z,9,39,13,11,14,3.809,1158
2020-03-28T00:00:00.000Z,9,88,17,13,23,10.818,1293
2020-03-29T00:00:00.000Z,10,40,17,16,20,3.048,1372
2020-03-30T00:00:00.000Z,18,43,22,21,23,3.83,1426
2020-03-31T00:00:00.000Z,7,60,24,16,30,9.038,932
2020-04-01T00:00:00.000Z,5,50,9,7,13,5.687,999
2020-04-02T00:00:00.000Z,6,14,7,7,8,1.448,291
2020-04-04T00:00:00.000Z,14,74,23,18,39.5,16.295,217
2020-04-05T00:00:00.000Z,12,89,19,17,23,13.407,323
2020-04-06T00:00:00.000Z,8,91,21,18,39.5,19.765,413
2020-04-07T00:00:00.000Z,6,28,11,8,14,4.593,303
2020-04-08T00:00:00.000Z,6,67,18,9,23,12.615,344
2020-04-09T00:00:00.000Z,13,29,18,16,21,3.425,285
2020-04-10T00:00:00.000Z,6,25,19,17,21,4.994,267
2020-04-11T00:00:00.000Z,6,117,38,20,66,29.37,599
2020-04-12T00:00:00.000Z,11,42,22,18,24,5.84,337
2020-04-13T00:00:00.000Z,9,49,16,14,21,6.689,302
2020-04-14T00:00:00.000Z,7,84,23,21,35,14.716,470
2020-04-15T00:00:00.000Z,4,61,8,6,15,10.826,357
2020-04-16T00:00:00.000Z,6,18,10,8,13,2.831,276
2020-04-17T00:00:00.000Z,6,58,14,9,17,8.405,279
2020-04-18T00:00:00.000Z,8,71,21,12,26,14.511,181
2020-04-21T00:00:00.000Z,9,63,13,11,49,19.681,114
2020-04-22T00:00:00.000Z,9,59,17,13,23,10.114,351
2020-04-23T00:00:00.000Z,6,26,13,8,17,5.218,286
2020-04-24T00:00:00.000Z,7,18,11,9,14,3.086,286
2020-04-25T00:00:00.000Z,8,22,12,11,14,2.832,238
2020-04-26T00:00:00.000Z,4,23,8,6,10,3.484,266
2020-04-27T00:00:00.000Z,5,39,8,7,16,7.338,296
2020-04-28T00:00:00.000Z,7,63,13,9,19,9.809,310
2020-04-29T00:00:00.000Z,8,29,11,10,13,4.878,185
2020-04-30T00:00:00.000Z,5,20,8,6,10,4.024,253
2020-05-01T00:00:00.000Z,4,48,12,7,16,9.642,285
2020-05-02T00:00:00.000Z,3,13,7,5,8,1.887,276
2020-05-03T00:00:00.000Z,4,18,9,6,13,3.522,279
2020-05-04T00:00:00.000Z,3,11,5,5,7,1.566,257
2020-05-05T00:00:00.000Z,4,35,9,7,14,6.531,298
2020-05-06T00:00:00.000Z,4,42,7,6,9,7.656,293
2020-05-07T00:00:00.000Z,3,97,8,6,18,19.954,328
2020-05-08T00:00:00.000Z,6,153,26,13,57,32.841,242
2020-05-09T00:00:00.000Z,8,62,20,11,31,14.759,375
2020-05-10T00:00:00.000Z,9,27,17,13,22,5.293,146
2020-05-11T00:00:00.000Z,6,17,13,10,16,3.393,190
2020-05-12T00:00:00.000Z,4,17,6,5,11,3.692,261
2020-05-13T00:00:00.000Z,3,26,5,4,9,4.401,288
2020-05-14T00:00:00.000Z,4,19,8,6,9,2.064,286
2020-05-15T00:00:00.000Z,5,16,9,8,12,2.485,297
2020-05-16T00:00:00.000Z,6,16,11,9,12,2.075,306
2020-05-17T00:00:00.000Z,7,37,12,11,14,4.712,311
2020-05-18T00:00:00.000Z,7,20,9,9,11,3.17,292
2020-05-19T00:00:00.000Z,9,39,15,12,18,6.016,324
2020-05-20T00:00:00.000Z,5,23,13,10,18,5.055,307
2020-05-21T00:00:00.000Z,5,26,6,6,8,3.74,294
2020-05-22T00:00:00.000Z,4,12,6,6,7,1.232,234
2020-05-23T00:00:00.000Z,4,34,7,6,11,5.149,995
2020-05-24T00:00:00.000Z,4,64,9,7,14,6.896,1355
2020-05-25T00:00:00.000Z,3,14,5,4,6,1.885,1289
2020-05-26T00:00:00.000Z,4,184,8,6,11,17.191,1333
2020-05-27T00:00:00.000Z,2,18,4,4,12,4.956,1372
2020-05-28T00:00:00.000Z,3,26,6,4,8,2.674,1366
2020-05-29T00:00:00.000Z,3,17,6,5,9,3.112,1360
2020-05-30T00:00:00.000Z,4,19,9,7,10,3.287,1382
2020-05-31T00:00:00.000Z,4,12,7,5,8,1.566,1326
2020-06-01T00:00:00.000Z,3,59,5,4,6,2.739,1253
2020-06-02T00:00:00.000Z,4,21,5,4.5,6,1.624,1377
2020-06-03T00:00:00.000Z,4,26,6,5,10,5.087,1348
2020-06-04T00:00:00.000Z,4,16,7,5,10,2.626,1369
2020-06-05T00:00:00.000Z,6,20,8,7,11,3.314,1365
2020-06-06T00:00:00.000Z,5,28,9,7,13.5,3.993,1221
2020-06-08T00:00:00.000Z,6,21,14,11,17,3.42,587
2020-06-09T00:00:00.000Z,9,31,14,11,19,4.742,1366
2020-06-10T00:00:00.000Z,5,15,8,6,11,2.719,1373
2020-06-11T00:00:00.000Z,4,19,8,7,9,2.06,1354
2020-06-12T00:00:00.000Z,5,15,10,8,12,2.476,1360
2020-06-13T00:00:00.000Z,7,13,9,8,10,1.455,1350
