# Sensor Strada Sfinții Voievozi, Popești-Leordeni, Romania (uRad Monitor/160000ee)
# https://aqicn.org/station/@109861/
# Daily met.t
date,min,max,median,q1,q3,stdev,count
2020-03-25T00:00:00.000Z,8.11,8.11,8.11,8.11,8.11,0,3
2020-03-27T00:00:00.000Z,6.44,28.34,12.41,9.41,18.89,6.348,1158
2020-03-28T00:00:00.000Z,8.16,28.43,15.05,9.71,20.46,5.603,1293
2020-03-29T00:00:00.000Z,11.9,38.85,18.13,14.8,26.12,8.206,1372
2020-03-30T00:00:00.000Z,9,35.15,18.19,12.25,26.53,7.979,1426
2020-03-31T00:00:00.000Z,5.8,9.75,7.09,6.16,8.76,1.275,932
2020-04-01T00:00:00.000Z,7.27,20.83,11.24,9.52,14.04,3.339,999
2020-04-02T00:00:00.000Z,7.01,9.51,8.46,7.87,9.01,0.737,323
2020-04-04T00:00:00.000Z,9.42,20.54,18.27,15.48,19.39,2.828,458
2020-04-05T00:00:00.000Z,9.68,18.43,14.36,11.52,17.22,2.847,1092
2020-04-06T00:00:00.000Z,7.16,18.57,14.02,9.15,17.37,3.888,1024
2020-04-07T00:00:00.000Z,8.13,23.9,18.59,12.51,21.12,5.211,1057
2020-04-08T00:00:00.000Z,9.68,25.27,19.16,13.74,23.35,5.398,1080
2020-04-09T00:00:00.000Z,11.35,29.28,23.29,17.69,27.01,5.835,993
2020-04-10T00:00:00.000Z,15.51,30.07,23.08,17.3,28.23,5.314,886
2020-04-11T00:00:00.000Z,13.05,24.38,18.73,14.76,22.3,3.788,1057
2020-04-12T00:00:00.000Z,10.65,25.41,21.15,14.49,24.54,5.202,958
2020-04-13T00:00:00.000Z,11.42,28.39,23.45,20.02,26.85,5.471,978
2020-04-14T00:00:00.000Z,6.36,28.37,19.3,14.96,25.07,6.554,1098
2020-04-15T00:00:00.000Z,5.01,18.47,13.32,10.67,16.88,4.017,1060
2020-04-16T00:00:00.000Z,9.1,23.23,19.02,14.09,22.49,4.841,942
2020-04-17T00:00:00.000Z,14.03,28.54,23.41,19.14,27.15,4.616,959
2020-04-18T00:00:00.000Z,15.17,29.6,22.83,16.46,28.23,5.417,564
2020-04-21T00:00:00.000Z,13.84,27.21,15.39,14.71,16.63,2.059,257
2020-04-22T00:00:00.000Z,10.86,21.5,17.59,13.73,20.41,3.476,997
2020-04-23T00:00:00.000Z,11.39,25.12,19.04,15.19,23.47,4.683,1053
2020-04-24T00:00:00.000Z,13.04,28.33,21.25,17.86,26.05,4.913,995
2020-04-25T00:00:00.000Z,14.46,28.93,22.11,16.34,27.69,5.03,694
2020-04-26T00:00:00.000Z,16,28.75,22.15,18.18,27.22,4.318,909
2020-04-27T00:00:00.000Z,12.73,25.96,19.18,15.06,24.85,4.578,1032
2020-04-28T00:00:00.000Z,13.18,29.37,22.32,15.91,27.97,5.597,956
2020-04-29T00:00:00.000Z,14.55,30.3,24.04,16.78,28.82,5.758,634
2020-04-30T00:00:00.000Z,18.3,31.26,21.61,20.39,28.42,4.259,943
2020-05-01T00:00:00.000Z,18.16,30.01,26.06,22.04,29.14,3.87,774
2020-05-02T00:00:00.000Z,18.3,30.87,25.04,20.96,29.56,4.233,1017
2020-05-03T00:00:00.000Z,17.17,28.05,19.64,18.5,24.72,3.251,1107
2020-05-04T00:00:00.000Z,16.46,22.61,18.98,17.47,20.85,1.847,767
2020-05-05T00:00:00.000Z,18.04,26.47,21.71,19.1,24.65,2.776,934
2020-05-06T00:00:00.000Z,14.12,23.62,19.18,18.39,20.29,2.17,916
2020-05-07T00:00:00.000Z,11.48,24.33,18.85,14.8,21.08,3.752,983
2020-05-08T00:00:00.000Z,14.79,24.06,18.53,15.84,21.24,2.94,493
2020-05-09T00:00:00.000Z,15.04,30.26,24.24,18.78,28.72,5.128,953
2020-05-10T00:00:00.000Z,16.94,33.13,20.41,18.26,28.43,5.721,546
2020-05-11T00:00:00.000Z,19.75,34.79,25.87,21.49,34.17,5.821,579
